sal_avg_lc1vs0_iate,school
-463.513496485008,10.0
-1847.6121512813597,10.0
-3666.724739464621,10.0
-8612.12307443159,10.0
-2932.6937992341063,12.0
-5665.001479048336,10.0
-3441.4558967006274,8.0
-2838.081801430035,10.0
-5190.987333464111,10.0
-6679.015808655396,9.0
-21088.555720797518,10.0
-5050.337640104915,10.0
-4330.400558687103,9.0
-4328.147398870946,8.0
-227.3310448535001,10.0
-3114.3760810520707,12.0
-2435.8406409209138,9.0
-16801.22053844198,10.0
-6820.418310267503,10.0
-13760.996006129913,12.0
-18046.204079078827,9.0
-2321.9146750212035,9.0
-13241.46132851449,9.0
-3071.19154952596,12.0
-3206.1550970958815,12.0
-4154.286240049651,12.0
-15006.888634045421,10.0
-12021.335593992317,9.0
-2070.3202580666493,9.0
-18397.95356272177,10.0
-1889.9598735848053,10.0
-6092.692729795937,12.0
-7701.838036392345,8.0
-4284.474753541315,9.0
-3070.9207159497064,10.0
-10186.839265724966,10.0
-4058.7263050805213,10.0
-4234.555661910751,10.0
-14841.704162924554,10.0
-4721.648946031489,8.0
-146.3326538080487,12.0
-4296.263003798102,12.0
-3968.027247398873,9.0
-5487.076290863111,9.0
-10821.706583671672,12.0
-3549.0933660013325,12.0
-11176.520391528746,12.0
-396.6216945757328,12.0
-1308.7933614894812,9.0
-4321.738163391496,12.0
-1679.3250543333627,9.0
-13825.385441420818,10.0
-9705.903919529803,9.0
-1941.5600032764141,12.0
-17026.261987989732,9.0
-5681.74233304389,9.0
-20707.033050715305,10.0
-2715.2386861927325,10.0
-2681.99010470236,10.0
-2220.630708743636,12.0
-8836.78346681875,10.0
-4080.6812910874987,8.0
-3567.75067401295,12.0
-61.33569109278403,12.0
-11229.120037878332,8.0
-5514.657729756766,10.0
-8119.786103787981,10.0
-5653.523153591791,8.0
-3021.041312560856,8.0
-2202.385252410415,10.0
-13711.86613623781,9.0
-18989.89525567234,10.0
-3881.4391296977374,10.0
-8124.260113193132,10.0
-3051.0709837098966,12.0
-4554.147313564168,10.0
-2590.3474344504575,10.0
-6908.662810779986,10.0
-6718.468603575588,12.0
-20004.117829970786,10.0
-4994.176749152037,10.0
-5496.55923926767,12.0
-4302.962053225012,10.0
-5998.531895427333,10.0
-4408.920118722363,8.0
-3362.96784283539,9.0
-1128.8177198612439,10.0
-12334.234629367968,10.0
-12821.893128497695,9.0
-8054.5514265533075,9.0
-14090.634343899204,10.0
-7617.009346591939,10.0
-2796.7528572068677,12.0
-924.3493473975333,10.0
-6411.868072222465,10.0
-20986.804676169333,9.0
-3079.8646357343596,12.0
-11235.677003808369,9.0
-3300.177699021645,9.0
-6319.144300785712,10.0
-7220.067168747152,10.0
-3752.450922899925,12.0
-10122.392623717966,10.0
-2059.022433649012,10.0
-4420.459952515184,9.0
-3657.864961302712,12.0
-14497.581488513384,9.0
-3280.972619140175,10.0
-10016.712359354979,10.0
-14130.109560966343,10.0
-11526.239612007645,8.0
-9627.575265321331,10.0
-10242.502781571558,10.0
-12375.299110150592,10.0
-12775.022272749107,9.0
-2962.4747961838993,10.0
-5733.944012197649,10.0
-412.16662863333386,10.0
-4173.934912833149,9.0
-4446.523276926742,12.0
-5546.287796963205,9.0
-6644.113947641672,10.0
-20463.510461793707,10.0
-11421.985827900826,10.0
-14588.283114557971,9.0
-4296.9341605022455,10.0
-15308.381580177347,10.0
-1918.6337455126786,10.0
-4904.122555143581,9.0
-3782.712618864375,10.0
-4336.14058556478,8.0
-13019.588975640676,10.0
-4701.720109369653,9.0
-1862.2777478242606,10.0
-1651.7998929613914,9.0
-2245.9113882877136,12.0
-5098.816434561996,10.0
-16139.686901748268,10.0
-7755.282672002699,12.0
-5407.08598283951,10.0
-4648.452389895047,10.0
-520.2555182121823,10.0
-19495.373864824534,10.0
-4733.99346998361,10.0
-5677.709380763718,10.0
-5579.931288879409,9.0
-21197.190502766305,10.0
-14020.929154737749,8.0
-12981.516844003236,9.0
-2648.987215829232,9.0
-16753.22068041909,9.0
-8524.629155095867,9.0
-5975.722087964356,9.0
-9125.532586995547,12.0
-7619.046303009428,9.0
-2855.586163825934,10.0
-3025.8097797928276,10.0
-2497.1665053223387,12.0
-7184.193202091382,10.0
-2807.523195563472,9.0
-3080.209531283679,12.0
-5494.654000863124,9.0
-1819.1616023078786,10.0
-13599.512198976117,10.0
-4661.803029523228,9.0
-4762.071432685161,12.0
-5145.8303435802845,9.0
-21717.09240546481,10.0
-3919.964005010719,10.0
-4024.195172315309,10.0
-2932.832439347376,12.0
-4971.014798354618,9.0
-2767.8809390932056,12.0
-5493.866697337418,10.0
-3395.332213811672,12.0
-2909.1529854074083,8.0
-9920.038541856886,10.0
-4852.356244613504,10.0
-5584.926950041488,12.0
-7964.870549707955,12.0
1188.264489757641,12.0
-10620.14815116794,9.0
-1895.3452563455148,10.0
-797.0658975308497,12.0
-2664.5307177555405,8.0
-14399.804235434925,10.0
-2840.982919313621,10.0
-294.82386166505825,12.0
-3326.16243834518,12.0
-17341.001304706522,10.0
-13342.804826578384,10.0
-6679.770675387857,10.0
-10378.034609233018,10.0
-7586.032266469161,12.0
-2138.3843792674666,10.0
-2962.947797366007,12.0
-9445.061591712045,9.0
-4628.850483957177,9.0
-2371.945529551689,12.0
-2504.6642034590986,8.0
-7650.088853001283,10.0
-10049.364534438411,12.0
-16409.512754677424,8.0
-2227.1544694534746,10.0
-7726.152897312457,10.0
-14604.01587291501,9.0
-6757.192295640221,10.0
-7165.033228111048,12.0
-996.4244833159028,12.0
-13969.073750347066,9.0
-11130.593381398496,10.0
-11059.005339752526,9.0
-20418.00601613143,10.0
-4505.262376376644,10.0
-2650.541807093163,12.0
-4300.2829864926025,12.0
-4476.765153839629,10.0
-5152.243767786587,9.0
-2561.134512646271,12.0
-7682.127741808816,12.0
-1111.2948748196618,9.0
-4978.012447428833,8.0
-2407.823753415889,10.0
-12672.240773153246,9.0
-6232.158946257013,9.0
-18260.908580148935,9.0
-12529.22791783786,9.0
-14267.555802736057,10.0
-3386.4387374681355,10.0
-2321.113462848197,10.0
-6625.325877134188,10.0
-6255.207636035607,8.0
-2312.351440555054,12.0
-4528.12110400387,8.0
-2136.024496009291,10.0
-3797.049319575912,12.0
-2549.244477343338,12.0
-1035.8719310758015,12.0
-16020.440062487536,10.0
-7332.0449117115495,12.0
-12498.667019472758,12.0
-7674.683263877325,12.0
-5373.937467221862,10.0
-686.1375662136179,12.0
-2780.854156387918,10.0
-7917.3120189264855,9.0
-15153.016100497083,10.0
-2322.729195925518,12.0
-13659.446268026304,9.0
-6929.011200109049,12.0
-4178.24318679288,8.0
-6760.580360149945,9.0
129.0258704716989,12.0
-3188.3456954588783,12.0
-9516.46720148789,12.0
-12148.93119437116,9.0
-17467.404146722078,10.0
-99.55215731127976,12.0
-9954.110087712743,12.0
-12340.991839544762,10.0
-22115.340534184277,10.0
-13646.644695816767,12.0
-19331.30150918461,8.0
-5221.6323170013475,8.0
-9035.514445965619,12.0
-5633.825468059045,10.0
-3150.3597379570047,12.0
61.60349985900598,12.0
-809.3600076635769,12.0
-5088.28188985917,12.0
-9845.0089091722,12.0
-2325.1764468510314,10.0
-1401.3863216818309,12.0
-5462.314517675968,10.0
-9208.440692572243,10.0
-12060.361812287852,9.0
-1877.1333062559233,12.0
-7939.821816474209,10.0
-4289.047389677109,10.0
-4329.475988185808,10.0
-6057.285302540814,8.0
-12858.643002236695,9.0
-3233.468108602967,9.0
-15721.164024572408,9.0
-4019.193578120883,12.0
-4551.624874001085,10.0
-12667.710940098934,10.0
-7407.42116595402,12.0
-791.8595690477705,12.0
-516.7286420895107,12.0
-4374.179819366849,10.0
-9612.92341891613,9.0
-3124.1194900100436,12.0
-4393.087762808688,9.0
-9281.123888493767,10.0
-13369.916645841364,9.0
-332.6247287640011,12.0
-4420.848347727806,10.0
843.4764231047986,10.0
-4501.6520178244255,10.0
-14574.756331154886,8.0
-5898.811925904288,9.0
-10915.62995720756,10.0
-3393.5474613805527,12.0
-1790.2938023615297,10.0
-6779.62190486842,10.0
-11186.295105876992,10.0
-2072.3387249033312,12.0
-4728.134292884335,9.0
-2464.544454967063,12.0
-4890.754711351303,8.0
-1975.4436891613843,9.0
-14353.168442913953,10.0
-5248.791732272066,9.0
-3258.65984380615,12.0
-14484.53520635545,10.0
-13719.42061313944,9.0
418.7795160312018,12.0
-5820.403460492718,10.0
-3923.809481553683,10.0
-6012.458123978593,9.0
-1908.310015637578,10.0
-9083.872791494337,12.0
-998.0694382643395,10.0
-6671.742299915236,10.0
-12379.881014613524,9.0
-4216.2192773216475,10.0
-6693.013615916121,10.0
-11071.2085680109,9.0
-2478.543754149246,12.0
-488.413374051133,10.0
-13691.72052806198,9.0
-14128.533776318436,10.0
-15912.337258743926,10.0
-6756.4589075064405,10.0
-8183.009400915584,8.0
-9451.040630731291,10.0
93.47101372796897,12.0
-915.5316926913898,10.0
-13203.22852541862,8.0
-8542.443471992334,10.0
-11755.0004357309,8.0
-10728.017803723185,12.0
-4820.271094648853,10.0
-5014.965581160821,10.0
-5736.63685391739,9.0
-12197.97238310924,9.0
-4411.591303861553,10.0
-8965.257763357766,10.0
-4581.807766112252,10.0
-5883.638922952283,10.0
-1220.4746276351075,10.0
785.5890665439154,10.0
-4930.2394592706505,8.0
-7355.3104714523215,12.0
-6842.912065521707,8.0
-8311.348487358666,10.0
-15470.406179081358,8.0
-1384.8947845838254,10.0
-5625.061268035523,8.0
-5395.67485102924,10.0
-15147.025265905453,10.0
-2822.5401888264714,12.0
-6903.310919547794,10.0
-423.39900864083916,10.0
-3055.2002107567846,10.0
-13555.96118554968,10.0
-3565.720696760329,12.0
-2868.266246380026,12.0
-4596.493203592745,10.0
-6738.5403138022575,10.0
-6028.078368799315,10.0
-14046.276332787986,10.0
-5652.72043934389,10.0
-6392.651848260659,10.0
-11651.224493031139,9.0
-5094.066725552313,12.0
-3774.519378786783,10.0
-11254.285114087923,10.0
-4794.233587543226,9.0
-2693.174591155995,9.0
-5392.059907346633,9.0
-986.6002414598258,10.0
-281.54675123060633,10.0
-9157.941354466155,10.0
-13578.04074563397,8.0
-7487.506792336428,9.0
-3109.370698012696,10.0
-3913.2121345586183,10.0
-14162.201534433103,8.0
-12089.657537156761,12.0
-4952.782302663369,10.0
-21019.058765765585,10.0
-14377.80278587337,10.0
-1768.7706594950723,12.0
-13032.786842559997,8.0
-1578.4339274905042,12.0
-2951.3700701380494,12.0
-15797.855253188935,10.0
-4429.474466530128,8.0
-4838.923590867564,10.0
-4005.9592596586826,10.0
-2919.7176323197973,9.0
-4806.106171835136,12.0
-3854.880291943179,10.0
-5716.18291391208,9.0
-1170.2571990466831,10.0
436.6982479815158,10.0
-3219.776626640809,9.0
-1996.0484140403523,9.0
-18129.880000110792,9.0
-18359.97289274449,10.0
-8083.324319560274,12.0
-1210.0758095611673,12.0
-8592.231622147412,9.0
-5871.968701092864,8.0
-11569.190347748565,9.0
-6968.749078568313,9.0
-3664.6796309003876,9.0
-5548.876307371849,10.0
-5627.451770555056,9.0
-8283.52835393668,12.0
-7160.9910878070605,9.0
-310.37168021049644,10.0
-1435.81757479522,10.0
-7042.406618480247,8.0
-4984.466581442169,10.0
-56.33232408046345,12.0
-890.7201069562046,10.0
-5623.532942652186,10.0
-5396.959513890426,10.0
-6354.2047238725245,9.0
-13081.173822566274,9.0
-3516.0683503919918,10.0
-13179.946094300194,9.0
-1402.111887458308,12.0
-5064.680268330811,12.0
-15142.03915054749,10.0
-12184.736648898739,10.0
-11721.25805756469,8.0
-3554.0336516271745,10.0
-2336.861100870028,12.0
-3087.421922571015,12.0
-8116.2432350993,9.0
-4256.0200047777635,10.0
-3166.2687227382407,9.0
-5083.098479900222,12.0
-7249.239492437258,9.0
-7654.06532204916,12.0
-5036.03412197274,10.0
-2927.630551073811,10.0
-1845.1371319304158,9.0
157.73924563196465,10.0
-1310.7774424573422,12.0
-3778.114919996483,9.0
-2314.6919275686764,12.0
-12962.884879629297,9.0
-3063.3670505006544,10.0
-20362.931802059928,10.0
-15476.810906670038,8.0
-7412.540871392797,10.0
-11445.4817573018,8.0
-2723.537583021282,10.0
-2675.1133827060294,12.0
-4006.180352637505,12.0
-3638.1642275587865,8.0
-1908.294428524015,9.0
-9689.44098313031,10.0
-2557.6141537202516,8.0
-16016.323432450354,10.0
-9480.106396580893,8.0
-6308.700603407122,10.0
-979.3349252982796,10.0
-3821.86625847277,12.0
-10013.19827576287,10.0
-6690.749180257396,10.0
-13466.165737206347,10.0
-4166.463158603381,10.0
-6964.490701030812,10.0
-5169.819878103175,10.0
-2257.6984564895297,10.0
-13247.345947612273,9.0
-1294.5215235593964,10.0
-4270.438668968396,8.0
-5388.595103984488,12.0
-17338.561453190447,10.0
-8050.913766130763,10.0
-3428.049271649319,12.0
-5141.046663683175,10.0
-9916.177181186193,10.0
-4320.656988476179,10.0
-4407.522207813248,9.0
-2230.1933231354724,12.0
-2217.3322666341087,12.0
-2434.1966156409608,12.0
-1330.1147751756966,10.0
-5202.01330874447,12.0
-5142.564051904001,10.0
-51.97855476979453,10.0
-16293.842130432646,10.0
-6083.449440380387,9.0
-1697.25343347294,9.0
-5329.038740216332,9.0
-10995.475890302167,10.0
-1936.9311912179614,8.0
-7147.902861578556,8.0
-5789.560563698852,10.0
-3384.6712028387556,10.0
-4309.1454297339005,10.0
-18055.148318792264,10.0
-12295.465366261202,8.0
-3357.19115057234,8.0
-96.74307384329427,10.0
-55.19507577970222,12.0
-3596.1298118226423,10.0
-4652.364577773316,10.0
-11656.60853093363,10.0
-6822.059793696728,10.0
-3062.0748199785485,12.0
-14704.13996861499,10.0
-22613.33495117436,10.0
-11681.714306483213,10.0
-2690.328832907178,10.0
-145.76452319616465,10.0
-9534.153239810177,10.0
-8783.251104575225,10.0
-11848.243754399995,10.0
-6825.626377529973,9.0
-5914.429739644209,12.0
-18599.305977015687,10.0
-11797.697044277511,9.0
-11779.350052012396,12.0
-1228.144689300819,8.0
-5070.627808423444,10.0
-2013.7771281006735,12.0
-4184.450382434787,9.0
-4429.686481721787,10.0
-15704.460182145112,10.0
-17538.792802188327,8.0
-15469.449232276142,9.0
-6605.8529427610465,9.0
-6822.9162540114085,9.0
-2804.1733946980526,9.0
-14581.692431403177,10.0
-2898.821256782981,8.0
-12532.896318914685,10.0
-9409.879074009157,8.0
-811.951978044432,12.0
-6835.83232084338,10.0
-7881.885374983099,10.0
-4014.51886706782,12.0
-8848.296479403356,10.0
-4922.656449051392,10.0
-7944.97828854921,10.0
-3316.8892568799674,10.0
-15515.62960784151,8.0
-20928.293569871956,10.0
-10876.75302727928,10.0
-15384.926845707749,9.0
-2208.539319741446,9.0
-4678.384697793139,10.0
-5325.26382253275,10.0
-20550.250884253855,10.0
-13565.752192353077,12.0
-13920.475668151386,9.0
-3002.2481816884783,10.0
-4031.360242911709,10.0
-8808.473852875817,9.0
-10102.307806520617,10.0
-5954.354116014112,10.0
-834.0120585124301,10.0
-8727.131418268327,10.0
-6971.425860202112,12.0
-18402.801206939464,10.0
-17242.613398071877,10.0
-14923.882998099945,8.0
-5249.849177096246,12.0
-6792.929377688577,8.0
-6525.790521230949,10.0
-15448.370582953497,10.0
-8992.764398352394,10.0
-7627.7835946544765,12.0
-8520.930671184014,12.0
-563.6565441697796,10.0
-11149.090747767623,9.0
-17383.33206356701,10.0
-7822.022903112245,8.0
-2240.4664548704013,12.0
-6999.3454986042525,10.0
854.0491751777736,12.0
-4172.757175669629,9.0
-4827.962497706103,10.0
-20328.30628333887,9.0
179.93305316258136,10.0
-7097.035159534632,8.0
-5106.777566478966,9.0
-4588.038865725401,8.0
-11884.86326199716,10.0
-6265.209999379702,10.0
-6140.083691610969,10.0
-9357.132773341014,12.0
-1077.826536331635,10.0
-10621.559893547777,12.0
-5028.92848210696,10.0
-7075.662948813216,10.0
-8751.812149945432,9.0
-3099.572125634313,12.0
-725.2681902015559,12.0
-4552.88559658112,10.0
-9775.89109350858,10.0
-8843.300149767407,10.0
-14507.234004725078,10.0
-5470.599287948854,10.0
-20249.100494719503,10.0
-7580.671063053526,12.0
-5677.719525156944,12.0
-2985.9782101468663,12.0
-4134.77720835058,10.0
-10102.496198394962,9.0
-4030.7429259494365,12.0
-12751.77322724172,10.0
-3534.2888404419527,10.0
-6909.004513306612,10.0
-1383.0933088536685,12.0
-4719.557733115278,9.0
-20228.16106050703,9.0
-20154.06996006283,10.0
-5407.687868960819,10.0
-9282.951957435827,10.0
-1685.250217339345,12.0
-8002.189413050945,12.0
-1505.1932702048953,12.0
-163.1673253667782,10.0
-3364.229114852491,12.0
-12382.373611012477,8.0
-785.2656016715882,12.0
-11640.28117251274,12.0
-11242.977710466548,9.0
-9273.244449386284,10.0
-3677.4248579031373,12.0
-6716.901219636151,10.0
-10287.624947000357,9.0
-11098.278693646747,10.0
-2152.3303372994674,10.0
-12967.934148519556,10.0
-7838.683888259628,9.0
-10298.123622814575,10.0
-3768.7738584967756,10.0
-5105.713567523018,10.0
-5395.137279406862,10.0
-5842.417922098269,10.0
-3478.2529983768654,12.0
-16469.919254384844,9.0
-5090.7367118510465,12.0
-6412.188938437743,10.0
-2126.6436903543436,12.0
-18716.298248804593,9.0
-18466.448424001956,10.0
-12797.577331980196,8.0
-13327.799092772619,10.0
-4226.485652105521,10.0
-4804.748310744681,9.0
1194.0434589090614,12.0
-5720.66564614251,10.0
-3357.9227056011405,8.0
-13508.648013609103,9.0
-1349.949124080772,12.0
-5661.023288830345,9.0
-3564.0472339018597,10.0
-5505.914221874664,8.0
-2140.77813731048,10.0
-3790.6347991416933,9.0
-6906.446417577072,10.0
-4191.59070648288,10.0
-217.50414105855657,12.0
-324.4153535022249,10.0
-13033.596202381646,9.0
-2802.519107376115,10.0
-11595.110095012258,8.0
-7061.107339875247,9.0
-4335.72016988378,12.0
-9068.693718997742,12.0
-6376.66007604625,9.0
-5077.695211014554,9.0
-1851.369301939516,9.0
-5424.4691883584,9.0
-7440.315465169034,10.0
-466.8693287251152,10.0
-6076.861719903968,9.0
-15158.08268129647,10.0
-345.9548637861244,12.0
-4566.201747230991,10.0
-4279.348258360926,10.0
259.818097261558,10.0
-1072.0231667021515,10.0
-5737.331406914178,12.0
-6026.481655128593,10.0
-3107.4482519535068,12.0
-3074.1106843205566,8.0
-11671.155414348235,12.0
-5123.687208246411,9.0
-3733.63496940585,12.0
-5090.046314249408,10.0
-5203.400546725425,9.0
-3704.2742463124423,9.0
-6210.365746286256,10.0
-966.6440061212469,9.0
-9224.913670956226,10.0
-18670.561969752744,8.0
-13722.053139772592,9.0
-14444.355520263085,10.0
-8999.65545879015,9.0
-3843.336820733084,9.0
-17227.20553377229,10.0
-10321.073220665112,10.0
-6285.26855740175,12.0
-13660.553946703412,8.0
-3921.7643673284892,10.0
-12904.248237718628,9.0
-15071.090992090803,10.0
-6644.231587323618,10.0
-1951.4879162243396,10.0
-1958.8129126163522,10.0
-1954.431860891429,12.0
-956.7519150471438,10.0
-4764.917144147628,10.0
-3156.678973509528,10.0
-13636.844949685137,9.0
-5089.585021288243,10.0
-381.75481818053504,12.0
-16280.71806828749,10.0
-4190.076540213204,12.0
-4515.327060372217,12.0
-16278.173398129758,9.0
-6629.478277144476,10.0
-3943.0299898050603,9.0
-9866.98087712207,12.0
-5617.872243598027,8.0
-15395.508036094405,9.0
-5511.373599534315,8.0
-11911.48166490336,10.0
-16546.23974872805,9.0
-9389.747995401638,9.0
-2490.5231286882863,10.0
-5290.95325076227,10.0
-1789.832532866987,10.0
-8350.629791368505,10.0
-12565.851097279392,12.0
-3611.368895360154,10.0
-3160.4273083338785,9.0
-4092.3266513059525,10.0
-14305.763846117105,9.0
-329.22132879383275,10.0
-3641.7268438915253,10.0
-8604.512730170918,10.0
-1812.4775095178616,10.0
